5,80,2018,9000,30300,2
6,81,2018,14580,44400,2
7,82,2018,16020,36900,2
1,83,2018,19080,45900,2
2,84,2018,10200,30600,2
2,84,2018,57600,62100,1
3,85,2018,12600,30300,2
4,86,2018,9300,30900,2
5,87,2018,9120,30300,2
6,88,2018,8100,29100,2
7,89,2018,13500,45000,2
1,90,2018,14100,40800,2
1,90,2018,71940,84180,2
2,91,2018,16500,34080,2
3,92,2018,8820,30900,2
4,93,2018,12600,34800,2
5,94,2018,13500,30300,2
6,95,2018,14700,49500,2
7,96,2018,17820,43200,2
1,97,2018,18300,43800,2
2,98,2018,4320,31020,2
3,99,2018,6960,30900,2
4,100,2018,4320,29700,2
5,101,2018,11220,30900,2
6,102,2018,12360,38100,2
7,103,2018,19260,44280,2
7,103,2018,61080,63000,1
1,104,2018,13500,44100,2
2,105,2018,7380,30300,2
3,106,2018,10680,39600,2
4,107,2018,5820,30900,2
5,108,2018,8100,30900,2
6,109,2018,19560,43200,2
7,110,2018,7200,29100,2
1,111,2018,7500,41940,2
2,112,2018,6720,30960,2
3,113,2018,5940,31260,2
4,114,2018,9000,30960,2
5,115,2018,9780,26880,2
6,116,2018,17400,47700,2
7,117,2018,17280,47160,2
1,118,2018,12660,43200,2
2,119,2018,11700,30600,2
3,120,2018,16500,44940,2
4,121,2018,10560,40260,2
5,122,2018,6000,37680,2
6,123,2018,17400,43800,2
7,124,2018,15600,38700,2
1,125,2018,22440,49200,2
2,126,2018,23220,46800,2
3,127,2018,10320,27600,2
3,127,2018,1200,27000,2
4,128,2018,1860,30600,2
5,129,2018,4500,27300,2
6,130,2018,3300,33300,2
7,131,2018,12120,36420,2
1,132,2018,8580,34200,2
2,133,2018,13200,42060,2
3,134,2018,19500,42900,2
4,135,2018,16680,45300,2
5,136,2018,19080,45900,2
6,137,2018,16200,40200,2
7,138,2018,19200,45540,2
1,139,2018,21300,47940,2
2,140,2018,15360,42360,2
3,141,2018,14640,39900,2
4,142,2018,14700,33480,2
4,163,2018,12060,31500,2
4,163,2018,60420,69900,1
5,164,2018,11220,30300,2
6,165,2018,8280,30600,2
